CHEMICAL_NAME,SUPER_PATHWAY,KEGG
PE(17:0/20:2),Complex lipids,C00350
PE(18:0/14:0),Complex lipids,C00350
PE(18:0/18:0),Complex lipids,C00350
PE(18:0/18:1),Complex lipids,C00350
PE(18:0/20:3),Complex lipids,C00350
PE(18:1/16:1),Complex lipids,C00350
PE(18:1/18:2),Complex lipids,C00350
PE(18:1/20:2),Complex lipids,C00350
PE(18:2/18:3),Complex lipids,C00350
PE(18:2/20:4),Complex lipids,C00350
PE(P-16:0/18:2),Complex lipids,C00350
PE(P-16:0/20:5),Complex lipids,C00350
PE(P-18:0/20:3),Complex lipids,C00350
PE(P-18:1/16:0),Complex lipids,C00350
PE(P-18:1/18:0),Complex lipids,C00350
PE(P-18:1/22:4),Complex lipids,C00350
PE(18:1/22:0),Complex lipids,C00350
PI(16:0/18:1),Complex lipids,C01194
PI(18:0/16:0),Complex lipids,C01194
PI(18:1/18:1),Complex lipids,C01194
PI(16:0/22:5),Complex lipids,C01194
PI(18:0/20:2),Complex lipids,C01194
PI(18:1/18:2),Complex lipids,C01194
PI(18:0/18:1),Complex lipids,C01194
PI(18:0/22:4),Complex lipids,C01194
PI(16:0/20:3),Complex lipids,C01194
PI(16:0/20:4),Complex lipids,C01194
PI(18:0/20:3),Complex lipids,C01194
PI(18:0/20:4),Complex lipids,C01194
PI(18:1/20:3),Complex lipids,C01194
PI(16:0/22:6),Complex lipids,C01194
PI(18:0/18:2),Complex lipids,C01194
PI(18:0/22:6),Complex lipids,C01194
PI(18:1/16:1),Complex lipids,C01194
PI(18:1/20:4),Complex lipids,C01194
PI(16:0/16:1),Complex lipids,C01194
PI(16:0/18:2),Complex lipids,C01194
PI(18:0/22:5),Complex lipids,C01194
PI(18:0/16:1),Complex lipids,C01194
SM(22:0),Complex lipids,C00550
SM(26:1),Complex lipids,C00550
SM(20:1),Complex lipids,C00550
SM(20:0),Complex lipids,C00550
SM(18:1),Complex lipids,C00550
SM(24:0),Complex lipids,C00550
SM(24:1),Complex lipids,C00550
SM(14:0),Complex lipids,C00550
SM(16:0),Complex lipids,C00550
SM(18:0),Complex lipids,C00550
SM(26:0),Complex lipids,C00550
SM(22:1),Complex lipids,C00550
TAG40:0-FA14:0,Complex lipids,C00422
TAG42:1-FA14:0,Complex lipids,C00422
TAG42:1-FA16:0,Complex lipids,C00422
TAG42:2-FA18:2,Complex lipids,C00422
TAG44:2-FA16:0,Complex lipids,C00422
TAG46:0-FA16:0,Complex lipids,C00422
TAG46:1-FA16:0,Complex lipids,C00422
TAG46:2-FA16:0,Complex lipids,C00422
TAG46:3-FA14:1,Complex lipids,C00422
TAG47:1-FA15:0,Complex lipids,C00422
TAG48:1-FA16:0,Complex lipids,C00422
TAG48:2-FA16:0,Complex lipids,C00422
TAG48:4-FA14:0,Complex lipids,C00422
TAG48:4-FA16:0,Complex lipids,C00422
TAG49:0-FA18:0,Complex lipids,C00422
TAG49:1-FA15:0,Complex lipids,C00422
TAG49:1-FA18:1,Complex lipids,C00422
TAG49:2-FA17:0,Complex lipids,C00422
TAG49:3-FA16:0,Complex lipids,C00422
TAG49:3-FA16:1,Complex lipids,C00422
TAG50:2-FA14:1,Complex lipids,C00422
TAG48:3-FA12:0,Complex lipids,C00422
TAG50:4-FA16:0,Complex lipids,C00422
TAG50:5-FA18:2,Complex lipids,C00422
TAG51:1-FA15:0,Complex lipids,C00422
TAG51:2-FA16:0,Complex lipids,C00422
TAG51:2-FA16:1,Complex lipids,C00422
TAG51:3-FA16:1,Complex lipids,C00422
TAG51:3-FA17:0,Complex lipids,C00422
TAG51:3-FA18:1,Complex lipids,C00422
TAG52:1-FA16:1,Complex lipids,C00422
TAG52:2-FA18:0,Complex lipids,C00422
TAG52:3-FA16:0,Complex lipids,C00422
TAG52:4-FA18:0,Complex lipids,C00422
TAG52:4-FA20:0,Complex lipids,C00422
TAG52:4-FA22:4,Complex lipids,C00422
TAG52:5-FA22:5,Complex lipids,C00422
TAG52:6-FA16:1,Complex lipids,C00422
TAG52:6-FA18:2,Complex lipids,C00422
TAG52:8-FA16:1,Complex lipids,C00422
TAG53:3-FA18:1,Complex lipids,C00422
TAG53:3-FA18:2,Complex lipids,C00422
TAG53:4-FA16:0,Complex lipids,C00422
TAG53:4-FA18:1,Complex lipids,C00422
TAG54:2-FA20:1,Complex lipids,C00422
TAG54:2-FA20:2,Complex lipids,C00422
TAG54:3-FA20:3,Complex lipids,C00422
TAG54:5-FA20:2,Complex lipids,C00422
TAG54:6-FA22:5,Complex lipids,C00422
TAG54:7-FA18:3,Complex lipids,C00422
TAG54:7-FA20:5,Complex lipids,C00422
TAG54:8-FA18:2,Complex lipids,C00422
TAG56:1-FA16:0,Complex lipids,C00422
TAG56:2-FA16:0,Complex lipids,C00422
TAG56:2-FA20:1,Complex lipids,C00422
TAG56:3-FA18:2,Complex lipids,C00422
TAG56:3-FA20:0,Complex lipids,C00422
TAG56:4-FA18:0,Complex lipids,C00422
TAG56:5-FA20:2,Complex lipids,C00422
TAG56:6-FA20:3,Complex lipids,C00422
TAG56:7-FA18:2,Complex lipids,C00422
TAG56:7-FA20:3,Complex lipids,C00422
TAG56:8-FA18:2,Complex lipids,C00422
TAG56:8-FA22:6,Complex lipids,C00422
TAG57:9-FA22:6,Complex lipids,C00422
TAG58:10-FA20:4,Complex lipids,C00422
TAG58:6-FA22:4,Complex lipids,C00422
